FORMA|KEY|SIGL
le|le6|v
veoit|veoit|v
moult|moult|v
bien|bien4|v
q’|q’|v
##|##
elle|elle|v
estoit|estoit1|v
la|la|v
plus|plus|v
belle|belle|v
##|##
dame|dame|v
qi|qi|v
fust|fust5|v
en|en|v
vie|vie|v
##|##
.|.|v
si|si|v
ala|ala|v
tant|tant|v
sa|sa2|v
##|##
et|et|v
là|là|v
q’|q’1|v
elle|elle|v
s’|s’|v
##|##
acousta|acousta|v
de|de|v
lui|lui|v
.|.|v
si|si|v
##|##
vos|vos|v
di|di|v
qe|qe3|v
,|,|v
quant|quant|v
##|##
il|il1|v
furent|furent1|v
ensi|ensi|v
acoustés|acoustés|v
,|,|v
##|##
qe|qe3|v
moult|moult|v
se|se1|v
regarderent|regarderent1|v
ensenble|ensenble|v
##|##
.|.|v
heleine|heleine|v
avoit|avoit2|v
enqis|enqis|v
et|et|v
##|##
demandé|demandé1|v
qi|qi4|v
paris|paris1|v
estoit|estoit|v
,|,|v
##|##
qi|qi4|v
estoit|estoit|v
son|son|v
pere|pere|v
et|et|v
##|##
de|de|v
qel|qel|v
terre|terre|v
il|il|v
estoit|estoit|v
##|##
et|et|v
qe|qe4|v
aloit|aloit|v
chersant|chersant|v
por|por|v
##|##
cele|cele|v
contree|contree|v
;|;|v
si|si|v
li|li3|v
fu|fu1|v
##|##
conté|conté1|v
ensi_com|ensi_com|v
l’|l’|v
afer|afer|v
estoit|estoit|v
##|##
.|.|v
helene|helene|v
regarda|regarda|v
moult|moult|v
paris|paris|v
##|##
et|et|v
sa|sa|v
biauté|biauté|v
,|,|v
si|si|v
##|##
vos|vos|v
di|di|v
qe|qe3|v
mervoilleusement|mervoilleusement|v
s’|s’|v
##|##
enamora|enamora|v
de|de|v
lui|lui|v
avant_q’|avant_q’|v
elle|elle|v
##|##
se|se|v
partist|partist|v
de|de|v
la|la|v
place|place|v
##|##
,|,|v
là_où|là_où|v
elle|elle|v
l’|l’5|v
avoit|avoit2|v
##|##
veü|veü|v
;|;|v
por|por|v
sa|sa|v
biauté|biauté|v
moult|moult|v
##|##
li|li3|v
plot|plot|v
et|et|v
atalenta|atalenta|v
.|.|v
##|##
tout_ausi|tout_ausi|v
s’|s’|v
enamora|enamora|v
paris|paris1|v
de|de|v
##|##
heleine|heleine|v
.|.|v
paris|paris1|v
estoit|estoit1|v
moult|moult|v
##|##
saje|saje|v
,|,|v
si|si|v
connut|connut|v
moult|moult|v
##|##
bien|bien4|v
heleine|heleine|v
au|au|v
senblant|senblant|v
et|et|v
##|##
sot|sot1|v
q’|q’1|v
elle|elle|v
l’|l’5|v
amoit|amoit|v
##|##
et|et|v
q’|q’1|v
elle|elle|v
avoit|avoit|v
talent|talent|v
##|##
de|de|v
faire|faire|v
tot_ce_qe|tot_ce_qe|v
à|à|v
lui|lui|v
##|##
plesoit|plesoit|v
.|.|v
si|si|v
fist|fist|v
tant|tant|v
##|##
paris|paris1|v
et|et|v
tant|tant|v
enarta|enarta|v
q’|q’1|v
##|##
il|il|v
li|li3|v
dist|dist|v
celeement|celeement|v
partie|partie|v
##|##
de|de|v
son|son1|v
coraje|coraje|v
,|,|v
si|si|v
##|##
fist|fist|v
heleine|heleine|v
à|à|v
lui|lui|v
.|.|v
##|##
si|si|v
vos|vos|v
di|di|v
qe|qe3|v
ensi|ensi|v
##|##
parlant|parlant|v
et|et|v
ensi|ensi|v
regardant|regardant|v
li|li|v
##|##
un|un2|v
l’|l’|v
autre|autre7|v
ardoient|ardoient|v
et|et|v
##|##
esprenoient|esprenoient|v
plus_et_plus|plus_et_plus|v
.|.|v
si|si|v
muoient|muoient|v
##|##
et|et|v
changioient|changioient|v
sovent|sovent|v
lor|lor2|v
coulor|coulor|v
##|##
car|car|v
une_fois|une_fois|v
devenoient|devenoient|v
plus|plus|v
vermoils|vermoils|v
##|##
qe|qe3|v
graine|graine|v
,|,|v
autre_fois|autre_fois|v
tornoient|tornoient|v
##|##
plus|plus|v
blanc|blanc2|v
que|que|v
noif|noif|v
,|,|v
##|##
autre_fois|autre_fois|v
esprenoient|esprenoient|v
et|et|v
alumoient|alumoient|v
et|et|v
##|##
trenbloient|trenbloient|v
come|come|v
la|la|v
fueille|fueille|v
au|au|v
##|##
vent|vent|v
.|.|v
amors|amors|v
les|les4|v
a|a2|v
##|##
ensi|ensi|v
atornés|atornés2|v
com|com|v
je|je|v
vos|vos|v
##|##
ai|ai1|v
dit|dit4|v
,|,|v
car|car|v
il|il1|v
##|##
desirent|desirent|v
moult|moult|v
estre|estre3|v
paroil|paroil1|v
de|de|v
##|##
conpaignie|conpaignie|v
.|.|v
qant|qant|v
il|il1|v
orent|orent1|v
##|##
esté|esté7|v
ensi|ensi|v
grant|grant4|v
pieces|pieces|v
,|,|v
##|##
paris|paris1|v
ho|ho|v
tot|tot1|v
le|le1|v
siens|siens1|v
##|##
print|print|v
conjé|conjé|v
de|de|v
dame|dame|v
heleine|heleine|v
##|##
et|et|v
s’|s’1|v
en|en|v
retornerent|retornerent1|v
à|à|v
##|##
lor|lor5|v
nes|nes1|v
.|.|v
et|et|v
quant|quant|v
##|##
il|il1|v
furent|furent1|v
as|as|v
nes|nes1|v
venus|venus1|v
##|##
,|,|v
le|le|v
soleil|soleil1|v
estoit|estoit1|v
ja|ja|v
##|##
au|au|v
declin|declin|v
.|.|v
paris|paris1|v
fist|fist1|v
##|##
son|son1|v
consoil|consoil1|v
venir|venir|v
devant|devant1|v
li|li2|v
##|##
:|:|v
ce|ce|v
fu|fu3|v
deifebus|deifebus|v
et|et|v
heneas|heneas|v
##|##
et|et|v
polidamas|polidamas|v
et|et|v
des|des|v
autres|autres4|v
##|##
asés|asés|v
.|.|v
si|si|v
lor|lor4|v
dist|dist|v
##|##
en_tel_mainiere|en_tel_mainiere|v
.|.|v
coment|coment|v
paris|paris1|v
parla|parla|v
##|##
et|et|v
coment|coment|v
ses|ses|v
conpaignons|conpaignons|v
le|le4|v
##|##
loërent|loërent|v
asaillir|asaillir|v
la|la4|v
temple|temple1|v
"|"||v
##|##
biaux|biaux4|v
seignors|seignors|v
,|,|v
li|li|v
roi|roi|v
##|##
priant|priant|v
m’|m’|v
a|a2|v
envoiés|envoiés|v
en|en|v
##|##
cestui|cestui3|v
païs|païs|v
por|por|v
nos|nos4|v
henemis|henemis|v
##|##
damajer|damajer|v
et|et|v
nuire|nuire|v
,|,|v
por|por|v
##|##
la|la|v
grant|grant4|v
honte|honte|v
qe|qe1|v
jadis|jadis|v
##|##
firent|firent|v
à|à|v
nostre|nostre1|v
lignajes|lignajes|v
,|,|v
##|##
et|et|v
por|por|v
avoir|avoir|v
ma|ma|v
ante|ante|v
##|##
et|et|v
esionan|esionan|v
,|,|v
se|se2|v
nos|nos|v
##|##
peüson|peüson|v
.|.|v
me|me2|v
je|je|v
vos|vos|v
##|##
di|di|v
que|que|v
de|de|v
li|li3|v
avoir|avoir|v
##|##
est|est|v
il|il2|v
noiant|noiant1|v
,|,|v
ensi_com|ensi_com|v
##|##
je|je|v
croi|croi|v
,|,|v
car|car|v
elle|elle|v
##|##
est|est|v
en|en|v
teu|teu1|v
leu|leu|v
qe|qe3|v
##|##
avoir|avoir|v
ne|ne|v
la|la1|v
porions|porions|v
.|.|v
##|##
nos|nos|v
soumes|soumes1|v
ensi|ensi|v
arivés|arivés3|v
et|et|v
##|##
soumes|soumes|v
entre|entre|v
nos|nos4|v
henemis|henemis|v
:|:|v
si|si|v
##|##
vos|vos|v
di|di|v
qe|qe3|v
,|,|v
c’|c’|v
##|##
il|il1|v
seüssent|seüssent|v
de|de|v
nostre|nostre|v
volonté|volonté|v
##|##
et|et|v
porquoi|porquoi|v
nos|nos|v
i|i|v
soumes|soumes1|v
##|##
venus|venus1|v
,|,|v
à|à|v
damaje|damaje1|v
nos|nos1|v
##|##
porroit|porroit|v
torner|torner|v
.|.|v
et|et|v
por_ce|por_ce|v
##|##
de|de|v
demorer|demorer|v
ensi|ensi|v
longuement|longuement|v
ne|ne|v
##|##
seroit|seroit1|v
pas|pas|v
sens|sens1|v
,|,|v
je|je|v
##|##
ai|ai1|v
