FORMA|KEY|LEMMA|ETIMO|LANG|DATE|POS|FUNCT|gender|number|case|degree|deterType|MWEs|pronType|person|verbForm|mood|tense|voice|property|adpType|advType|advType2|numType|partType|g|h|p|v|LOC.1|LOC.2|LOC.3|LOC.4|DATE.0|DATE.1|DATE.2
aparoillés|aparoillés|apareillier1|*APPARICULARE|||verb||Masc|Sing|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aparoillés|aparoillés1|apareillier1|*APPARICULARE|||verb||Masc|Plur|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aparoillés|aparoillés4|apareillier1|*APPARICULARE|||verb|compPass|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aparoillés|aparoillés6|apareillier1|*APPARICULARE|||verb|Adj|Masc|Sing|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aparoillés|aparoillés7|apareillier1|*APPARICULARE|||verb|Adj|Masc|Plur|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
apartient|apartient|apartenir|APPERTINERE|||verb|||Sing||||||3|Fin|Ind|Pres||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
apella|apella|apeler|APPELLARE|||verb|||Sing||||||3|Fin|Ind|Past|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
apellee|apellee|apeler|APPELLARE|||verb|compPass|Fem|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
apellés|apellés|apeler|APELLARE|||verb|compPass|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
apensee|apensee|apenser|PENSARE|||verb|Adj|Fem|Sing|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aperceüs|aperceüs|apercevoir|PERCIPERE|||verb|compPass|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
apertement|apertement|apertement|APERIRE|||adverb||||||||||||||||Man||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
apollo|apollo|Apollon||||properNoun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
apollus|apollus1|Pollux||||properNoun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aport|aport|aporter|APPORTARE|||verb|||Sing||||||3|Fin|Sub|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aporta|aporta|aporter|APPORTARE|||verb|||Sing||||||3|Fin|Ind|Past|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aportoit|aportoit|aporter|APPORTARE|||verb|||Sing||||||3|Fin|Ind|Imp|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aportés|aportés1|aporter|APPORTARE|||verb|compTens|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
apparoillee|apparoillee|apareillier1|*APPARICULARE|||verb|compPass|Fem|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
apresera|apresera|apresser|*PRESSARE|||verb|||Sing||||||3|Fin|Ind|Fut||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aprochast|aprochast|aprochier|APPROPIARE|||verb|||Sing||||||3|Fin|Sub|Imp|Rfl|||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aproche|aproche|aprochier|APPROPIARE|||verb|||Sing||||||3|Fin|Ind|Pres|Rfl|||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aprochier|aprochier|aprochier|APPROPIARE|||verb||||||||||Ind|Inf|Pres|Rfl|||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aprés|aprés|après|AD PRESSUM|||verb||||||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aprés|aprés1|après|AD PRESSUM|||adverb||||||||||||||||Tim||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aprés_se_q’|aprés_se_q’|après|AD PRESSUM|||adverb|SConj ||||||MWEs|||||||||Tim||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ardant|ardant|ardre|ARDERE|||verb|Adj|||||||||Ind|Part|Pres||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ardis|ardis1|hardi|*HARDJAN|||adjective||Masc|Plur|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ardist|ardist|ardre|ARDERE|||verb|||Sing||||||3|Fin|Sub|Imp||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ardoient|ardoient|ardre|ARDERE|||verb|||Plur||||||3|Fin|Ind|Imp||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ardoir|ardoir|ardre|ARDERE|||verb||||||||||Ind|Inf|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
